user_id,email,full_name,address,password_hash,balance,is_seller
1,alice@example.com,Alice Johnson,123 Main St,pbkdf2:sha256:600000$Am4ripEOfCGlnesq$ebf94bbaa2ac0319a9305bde3bce07564d66cb40e5f1223428f9c56e50c879af,150.0,True
2,bob@example.com,Bob Smith,456 Elm St,scrypt:32768:8:1$liZVUEOpv69QkEUw$cb412c0dab4035a0c7571911b5df4667372e10df0dd2ae043275e48494b37b71e3b449746c2410c471d799767e4d4997b808489857587b24122baacbb35aa7b9,50.0,False
3,charlie@example.com,Charlie Davis,789 Oak St,hash3,200.0,True
4,ben.yan@duke.edu,Ben Yan,100 Duke St,scrypt:32768:8:1$liZVUEOpv69QkEUw$cb412c0dab4035a0c7571911b5df4667372e10df0dd2ae043275e48494b37b71e3b449746c2410c471d799767e4d4997b808489857587b24122baacbb35aa7b9,100.0,False
5,yen.ban@duke.edu,Yen Ban,100 Duke St,pbkdf2:sha256:600000$GdYAk6lrmo1dNI9w$cc75da4b2d6650e9a2c4b7e57807d3764c19eb66172e969f74d86ab908987414,100.0,False
6,lindsay99@example.org,Elizabeth Osborne,"342 Anita Prairie Apt. 309, Smithport, UT 09590",pbkdf2:sha256:600000$90ae7a51c71fe1e48f89e33eb3563ad8$7ac4ddaa1670624d253d6a1940dad5d9dd2468b9e219bfbf8acaae1a82837a7d,8023.05,True
7,sarah28@example.org,Thomas Williams,"895 Reyes Point Suite 958, Clarkland, KY 60166",pbkdf2:sha256:600000$e5bce21397818ca4f9d3ee5d7d40c3ed$106b09d86bffe14f31c4b8afeb483e3a47cfbda8016cf63199b1dcd56097727c,9011.14,False
8,sabrina96@example.org,Michelle Doyle,"32697 Brad Shore, North Andrewbury, TX 04034",pbkdf2:sha256:600000$7330dcb40be3e77607bab6cebca28440$b51480b3c40932e751fc5183f2a730a96936f9985c9879fe64f72b003f7177b1,5247.58,True
9,frussell@example.org,Samuel Dawson,"455 Charlene Cape Suite 447, Ashleeland, MO 11487",pbkdf2:sha256:600000$149642dd682f6a835d2944c5273ca0c5$1fa81ee11e54ad1ca00827c3ea7bd9597bdcf2ba9131d15aacbef82e5ae1cdf9,9035.69,True
10,joshua57@example.org,Julie Pena,"7528 Sue Falls Suite 081, Haleyland, UT 96536",pbkdf2:sha256:600000$04828c34abe6219db95058cff9526252$89345e5ed81454ef54890cf9590f7e12e5530afd0e2203ea88acd22319033335,9012.23,False
11,jamescasey@example.net,Daniel Davis,"559 Thomas Plaza Suite 424, Coffeyshire, GA 58989",pbkdf2:sha256:600000$f7306bdc46c4ebe1b83e6865f7b5e360$1c4c90225a78027e77291d4d7536d0be08e00d0a465192594cf63799300f64ae,7689.88,True
12,martinralph@example.org,Brady Thompson,"758 Gardner Loop, Port Jamesshire, VI 71930",pbkdf2:sha256:600000$5d911b2b27a1eca56218b9730d49ee5e$cb5129eb6ecdbfe90e35e094cd1989a6c6f82f75d2bddbfb318b8527e5416a59,9831.4,True
13,martinezmelanie@example.net,Christopher Jones,"75027 Acosta Route, Cindyborough, KY 09258",pbkdf2:sha256:600000$715587c86e5cd4bec492c838e36b68cc$684d5249bfc7af911b4227c242edfade86d1f8c45499f09bd41a687840cfa736,1557.32,False
14,delgadojane@example.net,Alexa Lambert,"740 Richard Ranch, North Bradleytown, NC 30700",pbkdf2:sha256:600000$b4c2c00ffd65d69b919e6e0f23ab6cb2$a7e873fb5b8f7491b1be3c52aa4dc80893a76729f3a484bd431abcb771b03e52,1816.87,False
15,jacquelinemorgan@example.org,Ryan Cox,"1478 Porter Freeway Apt. 317, Johnsonmouth, KY 59753",pbkdf2:sha256:600000$5fbb219ff8b90b4df9ef73c99336baa6$c61d82b12bd1baa78e845c317c82b232bbfe7258ae4a3b0af0679afbc3cb375a,9566.08,True
16,nathaniel05@example.com,Laura Garcia,"884 George Locks, Port Joshua, KY 26016",pbkdf2:sha256:600000$daf0e24faa1a7afa87bb683cd3de26b1$375e52cac93d5a45500d9685f184a5c4aa4320fdf045666abc1b064f6dd8ea68,8359.28,True
17,dsmith@example.org,Terry Kaufman,"869 Justin Shore Apt. 737, New Valerieview, IN 74444",pbkdf2:sha256:600000$fa608c1a6c28bdd12a2a79a8b827e7b8$24832418319596a96d99ffa24554698ba3053a2a677925cdc939f91dc6f6a09e,6526.14,False
18,kenneth99@example.net,Jacob Browning,"4533 Lara Gardens, East Kaylastad, FM 97093",pbkdf2:sha256:600000$5574249a8fb57332b7a7bdc44e71c8fc$dd4d9e42508dd65a368397c0a4be03efdddbd7dd96e5e580d57b3859c68f3b7b,2979.85,True
19,ralphparsons@example.net,Devin Edwards,"9368 Lopez Street, Lake Ruben, PR 16803",pbkdf2:sha256:600000$6ca83afdd4a3420d44207103c1369f5c$a3aab150e0a6520e2cac546b62241c928063e5cbd4efc9e295f8ce911b9916d9,6178.68,False
20,lhall@example.net,Chelsea Rodriguez,"009 Christopher Rue Suite 793, Port Joshuafort, MP 78573",pbkdf2:sha256:600000$062240267ca79f8b1867e671f638f2e8$2c9ab69af838c5236a5818496f56a162c5e6c03047e5d15b57e9eae86b2eb99f,5892.19,False
